Vessel ID,Time (s),Flow q (cm³/s),Normalized Flow q
36,0.0,0.538927,1.0279177554406913
36,0.010000000000001563,0.533999,1.0185183772339734
36,0.02000000000000135,0.529122,1.009216273436457
36,0.030000000000001137,0.52429,1.0
36,0.040000000000000924,0.548458,1.0460966259131397
36,0.05000000000000071,0.592021,1.129186137443018
36,0.0600000000000005,0.675611,1.288620801464838
36,0.07000000000000028,0.756235,1.4423982910221442
36,0.08000000000000007,0.84112,1.604302962101127
36,0.09000000000000163,0.906222,1.7284746991169009
36,0.10000000000000142,0.959608,1.8303000247954375
36,0.11000000000000121,1.00696,1.9206164527265446
36,0.120000000000001,1.04934,2.0014495794312306
36,0.13000000000000078,1.09112,2.0811383013217877
36,0.14000000000000057,1.13408,2.1630776860134655
36,0.15000000000000036,1.18112,2.252799023441225
36,0.16000000000000014,1.22859,2.3433405176524444
36,0.16999999999999993,1.28034,2.442045432871121
36,0.1800000000000015,1.32478,2.5268076827709853
36,0.19000000000000128,1.36266,2.5990577733696996
36,0.20000000000000107,1.39487,2.66049323847489
36,0.21000000000000085,1.4182,2.7049915123309614
36,0.22000000000000064,1.43698,2.7408113830132175
36,0.23000000000000043,1.44794,2.7617158442846517
36,0.2400000000000002,1.4535,2.772320662228919
36,0.25,1.45282,2.771023670106239
36,0.26000000000000156,1.44514,2.7563752884853803
36,0.27000000000000135,1.43105,2.7295008487669037
36,0.28000000000000114,1.41084,2.6909534799443056
36,0.2900000000000009,1.38395,2.639665070857731
36,0.3000000000000007,1.35023,2.5753495203036487
36,0.3100000000000005,1.31025,2.4990940128554806
36,0.3200000000000003,1.2642,2.411260943371035
36,0.33000000000000007,1.21235,2.31236529401667
36,0.34000000000000163,1.18587,2.2618588948864176
36,0.3500000000000014,1.16233,2.2169600793454003
36,0.3600000000000012,1.18022,2.2510824162200307
36,0.370000000000001,1.18206,2.254591924316695
36,0.3800000000000008,1.18845,2.266779835587175
36,0.39000000000000057,1.17135,2.2341642983844814
36,0.40000000000000036,1.14795,2.189532510633428
36,0.41000000000000014,1.12054,2.137252284041275
36,0.41999999999999993,1.08892,2.0769421503366456
36,0.4300000000000015,1.06605,2.0333212535047394
36,0.4400000000000013,1.04339,1.990100898357779
36,0.45000000000000107,1.02642,1.9577333155314807
36,0.46000000000000085,1.01362,1.9333193461633826
36,0.47000000000000064,1.00195,1.9110606725285622
36,0.4800000000000004,0.985683,1.8800339506761523
36,0.4900000000000002,0.970706,1.851467699174121
36,0.5,0.952816,1.8173453622994906
36,0.5100000000000016,0.93662,1.7864540616834195
36,0.5200000000000014,0.920171,1.7550802037040567
36,0.5300000000000011,0.904904,1.7259608232085295
36,0.5400000000000009,0.890393,1.6982833927788055
36,0.5500000000000007,0.876877,1.6725037669991798
36,0.5600000000000005,0.863893,1.6477388468214156
36,0.5700000000000003,0.851742,1.6245627419939346
36,0.5800000000000001,0.840577,1.6032672757443398
36,0.5900000000000016,0.829901,1.5829044994182608
36,0.6000000000000014,0.819637,1.5633275477312172
36,0.6100000000000012,0.81003,1.5450037193156458
36,0.620000000000001,0.800932,1.5276507276507274
36,0.6300000000000008,0.792205,1.5110053596292128
36,0.6400000000000006,0.783496,1.4943943237521218
36,0.6500000000000004,0.774835,1.4778748402601614
36,0.6600000000000001,0.766301,1.4615975891205248
36,0.6699999999999999,0.757955,1.4456789181559824
36,0.6800000000000015,0.749791,1.4301073833183924
36,0.6900000000000013,0.741826,1.414915409410822
36,0.7000000000000011,0.733971,1.399933243052509
36,0.7100000000000009,0.726248,1.3852028457533043
36,0.7200000000000006,0.718543,1.3705067805985238
36,0.7300000000000004,0.710861,1.3558545842949512
36,0.7400000000000002,0.703187,1.3412176467222339
36,0.75,0.695493,1.3265425623223788
36,0.7600000000000016,0.68783,1.311926605504587
36,0.7700000000000014,0.68023,1.297430811192279
36,0.7800000000000011,0.672734,1.283133380381087
36,0.7900000000000009,0.665351,1.2690514791432221
36,0.8000000000000007,0.658102,1.25522516164718
36,0.8100000000000005,0.650953,1.2415895782868258
36,0.8200000000000003,0.643928,1.2281905052547253
36,0.8300000000000001,0.637019,1.2150126838200233
36,0.8400000000000016,0.63024,1.202082816761716
36,0.8500000000000014,0.623594,1.1894066261038736
36,0.8600000000000012,0.617088,1.1769974632359952
36,0.870000000000001,0.610731,1.1648724942302924
36,0.8800000000000008,0.604522,1.153029811745408
36,0.8900000000000006,0.598465,1.14147704514677
36,0.9000000000000004,0.592546,1.1301874916553816
36,0.9100000000000001,0.586761,1.1191535219058153
36,0.9199999999999999,0.581096,1.1083484331190752
36,0.9300000000000015,0.575541,1.0977531518815922
36,0.9400000000000013,0.57009,1.087356234145225
36,0.9500000000000011,0.564734,1.0771405138377614
36,0.9600000000000009,0.559468,1.0670964542524175
36,0.9700000000000006,0.554282,1.0572049819756242
36,0.9800000000000004,0.54917,1.0474546529592401
36,0.9900000000000002,0.544125,1.037832115813767
36,0.9999800000000008,0.539141,1.028325926491064
